userinput;choosen Intent;confidence
Hey, kind of irritated on how you handled my flight.;Default Fallback Intent;1
Cancel Booking;flight_ticket_cancel;0.47645587
ClaraLines;Default Fallback Intent;1
ğŸ¤“ Booking Question;small_talk;0.915421
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
NULL;intent_empty;0
NULL;intent_empty;0
1848948;Default Fallback Intent;1
Cancel Booking;flight_ticket_cancel;0.47645587
ClaraLines;Default Fallback Intent;1
ğŸ¤“ Booking Question;small_talk;0.91466963
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
NULL;intent_empty;0
ğŸ¤“ Booking Question;small_talk;0.91466963
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ClaraSun;Default Fallback Intent;1
NULL;intent_empty;0
ğŸ¤“ Booking Question;small_talk;0.91466963
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
NULL;intent_empty;0
Bonjour;Default Fallback Intent;1
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
NULL;intent_empty;0
Soy Laura!;Default Fallback Intent;1
Hola!;small_talk;1
NULL;intent_empty;0
Hey;small_talk;1
NULL;intent_empty;0
NULL;intent_empty;0
Hi there;small_talk;1
Great service;flight_experience_review;0.83237123
Hello, I've got a question on a flight;Default Fallback Intent;1
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
Hey can you help me?;flight_question;1
I need urgent help with my delayed flight;flight_delays;0.6359384
Hey;small_talk;1
I like the new plane! âœˆï¸;small_talk;0.68759805
NULL;intent_empty;0
5848;Default Fallback Intent;1
Cancel Booking;flight_ticket_cancel;0.47645587
ClaraLines;Default Fallback Intent;1
ğŸ¤“ Booking Question;small_talk;0.91466963
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
NULL;intent_empty;0
I need help;flight_question;1
Hey;small_talk;1
ğŸ§³Checked Baggage;flight_baggage_lost;0.65266746
NULL;intent_empty;0
NULL;intent_empty;0
Ù…Ø±Ø­Ø¨Ø§ ØŒ Ø§Ø­ØªØ§Ø¬ Ø§Ù„Ù…Ø³Ø§Ø¹Ø¯Ù‡ Ù„Ø·Ù„Ø¨ Ø§Ù„Ø®Ø¯Ù…Ù‡ !;Default Fallback Intent;1
Talk to Human;Default Fallback Intent;1
ClaraLines;Default Fallback Intent;1
ğŸ¤“ Booking Question;small_talk;0.91466963
My flight number is ABC123 and I'm flying to Miami!;flight_number;0.67836523
ğŸ˜¡Cancelled;flight_canceled;0.55182946
ClaraLines;Default Fallback Intent;1
ğŸ’”Delay/Cancellation;flight_canceled;0.6584799
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
Unbelievable. That's not right. I never got a voicemail. Well whatever, I'll go get my luggage now.;flight_baggage_lost;0.6336813
Ok no need to interrogate me.....and how would I know where it's lost? Flight was 1224 from Chicago to Houston;flight_question;0.44016227
Hello, my luggage is still lost! Can someone help!;flight_baggage_lost;0.7299577
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
ğŸ‘;Default Fallback Intent;1
Great;flight_food_experience_review;0.62179714
I want to ask something about your software.;Default Fallback Intent;1
Hi can you help me;flight_question;1
Hi;small_talk;1
1234;Default Fallback Intent;1
Change Booking;flight_ticket_booking_changes;1
ClaraLines;Default Fallback Intent;1
ğŸ¤“ Booking Question;small_talk;0.91466963
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
Hello, I've been waiting for more information!;small_talk;0.84920615
Hi can you help me?;flight_question;1
Hi, can you help me I don't know what happened to my luggage?;flight_baggage_lost;0.6552539
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
NULL;intent_empty;0
I have a question, can you help please?;Default Fallback Intent;1
Why isn't hand luggage allowed? I don't like the attitude of your colleagues at the check-in desk. They didn't help one bit! â˜¹ï¸;flight_checkin;0.44838628
Hello, can someone answer?;small_talk;0.88410056
thanks;small_talk;1
ClaraLines;Default Fallback Intent;1
ğŸ¤“ Booking Question;small_talk;0.915421
Ù„Ù‚Ø¯ ÙÙ‚Ø¯Øª Ø£Ù…ØªØ¹ØªÙŠ ØŒ ÙƒÙŠÙ Ø£Ø³ØªØ¹ÙŠØ¯Ù‡Ø§ØŸ;Default Fallback Intent;1
the flight is frh 3475;flight_canceled;0.40784988
Hey, where can I see my star alliance membership on the website?;flight_ticket_online_problem;0.5718735
Hi Claralines, could you please confirm whether my flight is still going ahead as planned?;small_talk;0.6108337
Do you take hand luggage on the plane?;flight_baggage;0.5954218
Can you check if my flight is on time, please?;flight_checkin;0.48310024
NULL;intent_empty;0
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
Nothing of the above is what I want! Please let me talk to a human!!!;Default Fallback Intent;1
Talk to Human;Default Fallback Intent;1
ClaraLines;Default Fallback Intent;1
ğŸ¤“ Booking Question;small_talk;0.91466963
NULL;intent_empty;0
Hello! I have a question;small_talk;1
NULL;intent_empty;0
NULL;intent_empty;0
ğŸ¤“ Booking Question;small_talk;0.91466963
NULL;intent_empty;0
Hey;small_talk;1
NULL;intent_empty;0
NULL;intent_empty;0
Hey Claralines;small_talk;0.74445504
NULL;intent_empty;0
Ok;small_talk;1
Hey!;small_talk;1
NULL;intent_empty;0
Hi;small_talk;1
Help;flight_question;0.7418101
Is there a change with my flight schedule again???;flight_ticket_booking_changes;0.7192961
Hey, has cuba opened up their borders?;Default Fallback Intent;1
ğŸ¤“ Booking Question;small_talk;0.91466963
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
NULL;intent_empty;0
arerez;Default Fallback Intent;1
Salve, ho bisogno di aiuto per il mio volo per Portorico. Ãˆ cancellato e ho bisogno di un rimborso. Sono cosÃ¬ delusa che non ricevo risposta.;Default Fallback Intent;1
thanks;small_talk;1
Hello, this is selin. Can you help me with a question please?;Default Fallback Intent;1
Hi, need help finding luggage;flight_question;0.60586214
Hi Claralines is my flight delayed?;flight_delays;0.8086585
Hi, I purchased a plane ticket on 10/2 that also had a rental car booking included. I can't find a confirmation of that rental car booking anywhere! Can you verify?;Default Fallback Intent;1
Thank u ğŸ˜Š;flight_end_conversation;0.45761856
Ù…Ù…ÙƒÙ† Ø³Ø¤Ø§Ù„;Default Fallback Intent;1
Ù…Ø³Ø§Ø¡ Ø§Ù„Ø®ÙŠØ±;Default Fallback Intent;1
Hi, is there a flight to Berlin and do we need to do a corona test before?;flight_corona;0.5351048
ğŸŒ Choose Language;Default Fallback Intent;1
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
Is the code working? I want to book my Ibizaaa flight?;Default Fallback Intent;1
I wish this trip still existed! ğŸ˜«ğŸ˜«ğŸ˜«;Default Fallback Intent;1
Everything with the flight was great but what happened to the food served???;flight_food_experience_review;0.5471685
Can we still fly to Japan from NL as a tourist?;flight_question;0.59085065
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
seriously - your support is getting worse..;flight_booking_information_delay;0.46146658
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
Hellloooo! Good morning. Any updates on this? ;Default Fallback Intent;1
What am I doing wrong?;small_talk;0.68093604
But the promo code is not working?;flight_ticket_discount;0.40626913
I just saw a promotion to travel to Ibiza;Default Fallback Intent;1
Hello!;small_talk;1
Hello Claralines - I just flew you from DC to Siberia and I have to say, the flight was a pleasure. How can I leave a review of my experience?;Default Fallback Intent;1
NULL;intent_empty;0
Hey there! ğŸ‘‹ I have an issue with my Claralines ticket. Can you help?;flight_question;0.54709923
OK! I'm stuck at Zurich airport :-( ;small_talk;0.74882543
Hello!;small_talk;1
NULL;intent_empty;0
NULL;intent_empty;0
Hello, urgently need help. I need to cancel my flight due to COVID related issues. How can I get a refund?;flight_question;0.58827627
well this time it didn't seem so. Can I make an official complaint about this?;flight_ticket_booking_changes;0.57086265
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
NULL;intent_empty;0
NULL;intent_empty;0
NULL;intent_empty;0
NULL;intent_empty;0
Here's the info;Default Fallback Intent;1
Hi there, I want to cancel my flight;flight_ticket_cancel;0.69425124
Hi! How can I get a refund for my cancelled flight?;flight_ticket_refunds;0.7933122
Hi! How can I get a refund for my cancelled flight?;flight_ticket_refunds;0.7933122
Hi! How can I get a refund for my cancelled flight?;flight_ticket_refunds;0.7933122
hi there;small_talk;1
Thanks was helpful;flight_food_experience_review;0.5503925
I would like to complain about the seats on the flight. They were so dirty! Don't you clean the plane before flying new people?;flight_seats;0.49176756
Do you fly to Dubai now?;flight_question;0.5697708
ğŸ‘©ğŸ¼â€ğŸ’¼Transfer;Default Fallback Intent;1
ğŸ‘©ğŸ¼â€ğŸ’¼ Talk to a Human;Default Fallback Intent;1
ğŸ¤šğŸ»Carry-On Baggage;flight_baggage;0.793789
ğŸ§³Baggage Question;flight_baggage_lost;0.6370402
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ» Start Over;small_talk;0.92350125
Wow! Great!!!;flight_food_experience_review;0.62179714
I want HUMANS! ;Default Fallback Intent;1
NULL;intent_empty;0
NULL;intent_empty;0
NULL;intent_empty;0
Great work!;small_talk;1
Hi there!;small_talk;1
ğŸ¤“Booking Question;small_talk;0.9266173
NULL;intent_empty;0
Neen hoor ik typ ;Default Fallback Intent;1
NULL;intent_empty;0
vraag;Default Fallback Intent;1
NULL;intent_empty;0
Hallo;Default Fallback Intent;1
NULL;intent_empty;0
NULL;intent_empty;0
ClaraLines;Default Fallback Intent;1
ğŸ’”Delay/Cancellation;flight_canceled;0.6584799
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ»Start Over;small_talk;0.7696495
NULL;intent_empty;0
This was no help at all! Please let me know how I can get my luggage back! ğŸ˜ ;flight_baggage_lost;0.534867
Hello, my luggage was lost on my flight to Paris. Can you please help me?;flight_baggage_lost;0.5521914
Hello, my luggage was lost on my flight to Paris. Can you please help me?;flight_baggage_lost;0.5521914
ğŸ‡³ğŸ‡± Dutch;Default Fallback Intent;1
Get Started;flight_booking_information_delay;0.49773383
Hello, my luggage was lost on my flight to Paris. Can you please help me?;flight_baggage_lost;0.5521914
THIS IS HORRIBLE! I can't wait forever and you keep sending me CSAT surveys!!! ğŸ˜ ;flight_food_experience_review;0.43539026
Your app is not working! I cannot access my reservation for whatever reason;flight_ticket_online_problem;0.5768093
Hello? I have not received my refund!;flight_ticket_refunds;0.7599183
October 3rd;Default Fallback Intent;1
Thanks! It's ABC123;Default Fallback Intent;1
Change Booking;flight_ticket_booking_changes;1
ClaraLines;Default Fallback Intent;1
ğŸ¤“Booking Question;small_talk;0.9266173
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ»Start Over;small_talk;0.7696495
Hey do you fly to the us now?;flight_question;0.5620085
ğŸ‘©ğŸ¼â€ğŸ’¼Transfer;Default Fallback Intent;1
ğŸ‘©ğŸ¼â€ğŸ’¼Talk to a Human;Default Fallback Intent;1
ğŸ¤šğŸ»Carry-On Baggage;flight_baggage;0.793789
ğŸ§³Baggage Question;flight_baggage_lost;0.6370402
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
Get Started;flight_booking_information_delay;0.49773383
ğŸ¤šğŸ»Carry-On Baggage;flight_baggage;0.793789
ğŸ§³Baggage Question;flight_baggage_lost;0.6370402
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
Get Started;flight_booking_information_delay;0.49773383
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ»Start Over;small_talk;0.7696495
ğŸ¤šğŸ»Carry-On Baggage;flight_baggage;0.793789
ğŸ§³Baggage Question;flight_baggage_lost;0.6370402
are you there??;small_talk;1
Hi Claraline- my flight is delayed. help!;flight_delays;0.6267271
Nevermind;small_talk;0.8922
Can you help me;flight_question;1
Hello;small_talk;1
@_claralines Hey tes;small_talk;0.61077607
NULL;intent_empty;0
Ù…Ø±Ø­Ø¨Ø§ ÙƒÙŠÙ Ø§Ù„Ø­Ø§Ù„;Default Fallback Intent;1
Hey, I've been trying on hold for over an hour and no one has been able to help me. I'm having trouble making online changes to my flights!;Default Fallback Intent;1
Do you fly to Japan?;flight_question;0.58236843
Hello, my luggage was lost in Chicago. Who can help me with this?;flight_baggage_lost;0.65182304
Hello, it's me again! My flight was canceled and I'm awaiting a refund. Can an agent contact me direct?;flight_canceled;0.6261062
ClaraSun;Default Fallback Intent;1
ğŸ¤“Booking Question;small_talk;0.9266173
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ»Start Over;small_talk;0.7696495
Have you started to fly internationally or are the flights still domestic ones?;Default Fallback Intent;1
I didn't hear back from you;Default Fallback Intent;1
Do you fly to Japan?;flight_question;0.58236843
Can someone help?;flight_question;0.6984569
Hello, I need to book a flight to New York;Default Fallback Intent;1
Out of Austin, TX. My bag got lost on the Houston leg I believe;Default Fallback Intent;1
1111;Default Fallback Intent;1
Hello, I need some help finding a lsot bag;flight_question;0.6835768
ğŸ¤“Booking Question;small_talk;0.9266173
Hey, can you help. me?;flight_question;1
Do you fly to Namibia?;flight_question;0.58236843
Hi! I need your help. ;flight_question;0.71491396
Contact Agent ğŸ¤“;Default Fallback Intent;1
Support in English ğŸ‡¬ğŸ‡§;Default Fallback Intent;1
ğŸ¤“Booking Question;small_talk;0.9266173
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
Hello;small_talk;1
NULL;intent_empty;0
Hello. I am waiting for an update on flight 71616?;flight_ticket_booking_changes;0.6123628
Nice;small_talk;1
Oelalala _claralines;Default Fallback Intent;1
Meeee!! I will be travelling with @_claralines;Default Fallback Intent;1
Hey;small_talk;1
Sorry, but I want to speak to an agent now?;Default Fallback Intent;1
NULL;intent_empty;0
OK, look forward to hearing from you;Default Fallback Intent;1
ğŸ‘©ğŸ¼â€ğŸ’¼Transfer;Default Fallback Intent;1
ğŸ‘©ğŸ¼â€ğŸ’¼Human Agent;Default Fallback Intent;1
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
NULL;intent_empty;0
Hi Claralines, I need help with my booking.;flight_question;0.74894184
yooo whaddup! my flight booking failed?;flight_ticket_booking_changes;0.60047394
Claralines I am SO angry!!;small_talk;0.9744373
I need to change my flight for Friday afternoon. Confirmation number 454GFC;flight_ticket_booking_changes;0.58994716
I have another question- can you help?;Default Fallback Intent;1
ğŸ§³Checked Baggage;flight_baggage_lost;0.65266746
ğŸ§³Baggage Question;flight_baggage_lost;0.6370402
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ»Start Over;small_talk;0.7696495
Can you help me with my ticket please, urgently;flight_ticket_cancel;0.41843465
Helleuuw??;Default Fallback Intent;1
Talk to Human;Default Fallback Intent;1
ClaraLines;Default Fallback Intent;1
ğŸ¤“Booking Question;small_talk;0.9266173
Hi!;small_talk;1
It is, thanks for your help. Any new deals?;flight_end_conversation;0.44148785
I take that as a no?;small_talk;0.9554458
Hello! Could I PLEASE get an update on my tickets issue (40048336621 case number);flight_ticket_booking_changes;0.42373496
Hey Claralines, any update on this?;flight_ticket_booking_changes;0.7209775
Hi really need some help from you guys!;flight_question;0.8281985
Hello really need some help!;flight_question;0.8281985
Get Started;flight_booking_information_delay;0.49773383
Hello I need some help;flight_question;0.8002132
Support in English ğŸ‡¬ğŸ‡§;Default Fallback Intent;1
Hi. Are you allowing people to sit in the middle?;flight_pets;0.40224427
â Go Back;Default Fallback Intent;1
ğŸ‘©ğŸ¼â€ğŸ’¼Transfer;Default Fallback Intent;1
ğŸ‘©ğŸ¼â€ğŸ’¼Human Agent;Default Fallback Intent;1
Support in English ğŸ‡¬ğŸ‡§;Default Fallback Intent;1
ClaraLines;Default Fallback Intent;1
ğŸ¤“Booking Question;small_talk;0.9266173
great;flight_food_experience_review;0.62179714
I've been having a problem with my transport. can someone help?;Default Fallback Intent;1
Do you fly to Cuba?;flight_question;0.58236843
Hi Claralines - any new flight deals?;flight_ticket_booking_changes;0.4568666
1234;Default Fallback Intent;1
ğŸ˜¡Cancelled;flight_canceled;0.55182946
ClaraLines;Default Fallback Intent;1
ğŸ’”Delay/Cancellation;flight_canceled;0.6584799
Support in English ğŸ‡¬ğŸ‡§;Default Fallback Intent;1
this me Rifas;Default Fallback Intent;1
hi;small_talk;1
I would love to go to Figi ğŸ˜;Default Fallback Intent;1
New Booking;flight_booking_information_delay;0.60572785
ClaraLines;Default Fallback Intent;1
ğŸ¤“Booking Question;small_talk;0.9266173
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
Hi! I need to rebook my flight to Miami. ;flight_ticket_booking_changes;0.4058829
NULL;intent_empty;0
Hello I need help;flight_question;1
Hello, I still need help! I lost my carry on on the last flight!;flight_question;0.5650648
Hello Claralines - I have still not received my Nice refund. Whats the status with this?;flight_ticket_refunds;0.67455786
Can you check my delay please;flight_checkin;0.65375274
I have a delay;flight_delays;0.6814834
ğŸ¤™ğŸ»Start Over;small_talk;0.7696495
ğŸ¤šğŸ»Carry-On Baggage;flight_baggage;0.793789
ğŸ§³Baggage Question;flight_baggage_lost;0.6370402
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ»Start Over;small_talk;0.7696495
hello;small_talk;1
ğŸ¤“Booking Question;small_talk;0.9266173
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
Get Started;flight_booking_information_delay;0.49773383
Hi, is this offer still available?? Really need to getaway during this pandemic;flight_question;0.45699224
Fast response;Default Fallback Intent;1
NULL;intent_empty;0
And hope the weather is good there in August;Default Fallback Intent;1
NULL;intent_empty;0
@_claralines has this status changed? You guys should really onboard to star member group!;Default Fallback Intent;1
Do you fly to Milan as well?;flight_question;0.58236843
Are you. there?;small_talk;1
Hey there!;small_talk;1
Do you fly to Singapore directly?;flight_question;0.58236843
I want to change my order;flight_ticket_booking_changes;0.5265829
Hi again;small_talk;0.9931504
Hello!!!!;small_talk;1
No?;small_talk;1
Please! I am still waiting for a response;small_talk;0.7544655
NULL;intent_empty;0
Ù…Ø±Ø­Ø¨Ø§;Default Fallback Intent;1
Hi;small_talk;1
ClaraLines;Default Fallback Intent;1
ğŸ¤“Booking Question;small_talk;0.9266173
Hi Can you help me?;flight_question;1
Are you the correct person to ask?;Default Fallback Intent;1
What do you think?;Default Fallback Intent;1
So my luggage did not appear but it might be due to the transfer?;flight_baggage_lost;0.79038024
Hi;small_talk;1
Do you have direct flights to Kuwait?;Default Fallback Intent;1
Hi! I'm currently in Brussels and my luggage is lost! Help.;flight_baggage_lost;0.6852664
 https://twitter.com/messages/media/1283117307821199364;Default Fallback Intent;1
Can I please get some help? I really need to get back to Chicago!;flight_question;0.74098593
Hello I have had some issues with a cancelled flight!;flight_canceled;0.4336249
NULL;intent_empty;0
Hello hello;small_talk;1
I was thinking August 22nd. ;Default Fallback Intent;1
Hi- I need to book a flight for August to Miami. ;Default Fallback Intent;1
NULL;intent_empty;0
help;flight_question;0.7418101
info;Default Fallback Intent;1
hello;small_talk;1
Get Started;flight_booking_information_delay;0.49773383
This is a test message from the Facebook team. Please respond from your app within 2 days to confirm that the integration is functioning.;Default Fallback Intent;1
This is a test message from the Facebook team. Please respond from your app within 2 days to confirm that the integration is functioning.;Default Fallback Intent;1
3c;Default Fallback Intent;1
3c;Default Fallback Intent;1
3c;Default Fallback Intent;1
3c;Default Fallback Intent;1
2D;Default Fallback Intent;1
2d;Default Fallback Intent;1
2d;Default Fallback Intent;1
2d;Default Fallback Intent;1
2d;Default Fallback Intent;1
1b;Default Fallback Intent;1
1c;Default Fallback Intent;1
1c;Default Fallback Intent;1
1c;Default Fallback Intent;1
1c;Default Fallback Intent;1
This is a test message from the Facebook team. Please respond from your app within 2 days to confirm that the integration is functioning.;Default Fallback Intent;1
NULL;intent_empty;0
Who can I reach out to over the weekend? I would like to know when I will be able to fly to Mozambique again.;flight_question;0.472247
This is a test message from the Facebook team. Please respond from your app within 2 days to confirm that the integration is functioning.;Default Fallback Intent;1
NULL;intent_empty;0
@clara_lines Is this still a valid promotion?;Default Fallback Intent;1
Thanks;small_talk;1
Hello Claralines;small_talk;0.84479904
my booking number is 345678;flight_number;0.55337673
Hi Claralines I need help with my flight;flight_question;0.7968638
2b;Default Fallback Intent;1
3 B;Default Fallback Intent;1
2 C;Default Fallback Intent;1
1:00 AM;Default Fallback Intent;1
Hello Claralines, I need help with my booking.;flight_question;0.74894184
Delay;flight_delays;0.73470134
Help! Crisis;flight_question;0.6070378
COVID;Default Fallback Intent;1
1251595;Default Fallback Intent;1
ğŸ˜¡Cancelled;flight_canceled;0.55182946
ClaraLines;Default Fallback Intent;1
ğŸ’”Delay/Cancellation;flight_canceled;0.6584799
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ»Start Over;small_talk;0.7696495
ğŸ§³Baggage Question;flight_baggage_lost;0.6370402
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ»Start Over;small_talk;0.7696495
Also, love how I can get connected through Whatsapp! â™¥ï¸;Default Fallback Intent;1
Hi Claralines, looking forward to flying with you again soon!;Default Fallback Intent;1
3c;Default Fallback Intent;1
3b;Default Fallback Intent;1
2d;Default Fallback Intent;1
2b;Default Fallback Intent;1
1a;Default Fallback Intent;1
1c;Default Fallback Intent;1
I have heard you don't support via whatsapp any more? Or why are you not getting back to me?;Default Fallback Intent;1
I would like to formally escalate my refund request and talk to a line manager, please!;flight_ticket_refunds;0.62704945
That's unfortunate...I am still waiting for my refund and have not heard back from customer service in over 2 weeks!;flight_experience_review;0.6549426
Hello my luggage was lost on my last flight! Really need some guidance on getting it back!;flight_baggage_lost;0.6291512
I have a question regarding this live chat;Default Fallback Intent;1
Hi guys! Long time no speak;small_talk;0.9170292
Awesome help;flight_question;0.7418101
HOW LONG CAN SOMEONE WAIT?;small_talk;0.7211029
Of spreken jullie ook Nederlands?;Default Fallback Intent;1
I have a question with regards to these  buttons. Can I also talk to an agent?;Default Fallback Intent;1
Hello;small_talk;1
Oops. I meant hello;small_talk;0.9105285
Hell!;Default Fallback Intent;1
Do we have to be at the airport 3 hours before now? it is just an EU flight;flight_question;0.41629598
Is the check-in for hang luggage a must now?;flight_checkin;0.7132823
Do you have flights from Amsterdam to Sweden?;Default Fallback Intent;1
1c;Default Fallback Intent;1
1b;Default Fallback Intent;1
1b;Default Fallback Intent;1
1a;Default Fallback Intent;1
Hello I really need some help!;flight_question;0.85906065
A;Default Fallback Intent;1
You*;small_talk;1
Thank tou;flight_end_conversation;0.5190979
ğŸ¤“Booking Question;small_talk;0.9266173
Can you help me?;flight_question;1
Hi Claralines, do you fly directly to Oman now?;flight_question;0.5627799
Brilliant!;small_talk;1
Hi there, I've forgotten what CSAT surveys look like, could you please remind me?;Default Fallback Intent;1
ğŸ§³Checked Baggage;flight_baggage_lost;0.65266746
ğŸ§³Baggage Question;flight_baggage_lost;0.6370402
ğŸ‡¬ğŸ‡§ English;Default Fallback Intent;1
ğŸ¤™ğŸ»Start Over;small_talk;0.7696495
Hi, do you know when flights to Portugal will resume?;Default Fallback Intent;1
Did you see my question?;small_talk;0.8792182
Talk to Human;Default Fallback Intent;1
ClaraLines;Default Fallback Intent;1
ğŸ¤“Booking Question;small_talk;0.9266173
Hi can you help me please?;flight_question;1
ClaraLines;Default Fallback Intent;1
ğŸ¤“Booking Question;small_talk;0.9266173
I am angry with how you have handled my case. Everything is lost and gone..;Default Fallback Intent;1
Did flights to Jeddah start?;Default Fallback Intent;1
